Año,Mes,id_Rubro,Rubro,indice,variación mensual
2020,5,4,Cemento portland,175.204205059474,0
2020,5,8,Hierro redondo y acero para construcción,200.360198389834,2
2020,5,9,Hormigón elaborado,154.508707413916,-1.19999999999999
2020,5,10,Ladrillos cerámicos,147.375835911242,2.94508022010687
2020,5,11,Ladrillos comunes,137.395370861199,1.99999999999998
2020,5,12,Mosaicos graníticos y calcáreos,167.787900001435,3.2065735335342
2020,5,13,Pinturas para construcción,155.456953594652,6.49882628461218
2020,5,14,Pisos y revestimientos cerámicos,219.735056502425,0
2020,5,17,Yeso,165.305102487096,2
2020,5,15,Sanitarios de cerámica,206.898572491958,0.332228354208919
2020,5,16,Tubos estructurales,173.549087599393,2.66558206159151
2020,5,3,Caños de PVC,163.103447496941,4.06659942482628
2020,5,5,Chapas galvanizadas,161.255487809562,2.99514551666986
2020,5,7,Hierro fundido,138.905614212956,1.05672768043181
2020,5,6,Conductores de cobre,174.041072492716,1.32892794021435
2020,6,1,Asfalto,166.910404501328,1.10706319461882
2020,6,2,Cales,146.053506149992,4.49880771966662
2020,6,4,Cemento portland,179.584210987425,2.49994338119013
2020,6,8,Hierro redondo y acero para construcción,208.374603669934,3.9999986746404
2020,6,9,Hormigón elaborado,156.053690634255,0.999932784500079
2020,6,10,Ladrillos cerámicos,155.473811952389,5.49477870037214
2020,6,11,Ladrillos comunes,145.639025093054,5.99995049337019
2020,6,12,Mosaicos graníticos y calcáreos,173.658784221465,3.49899141712848
2020,6,13,Pinturas para construcción,156.232312309517,0.498761037661244
2020,6,14,Pisos y revestimientos cerámicos,226.322777507219,2.99802913092346
2020,6,17,Yeso,172.742850800505,4.49940637131252
2020,6,15,Sanitarios de cerámica,217.924271940398,5.32903601781434
2020,6,16,Tubos estructurales,180.721522868496,4.13279917994152
2020,6,3,Caños de PVC,166.897308485671,2.3260458604359
2020,6,5,Chapas galvanizadas,168.676516536808,4.60203173736968
2020,6,7,Hierro fundido,142.091720337323,2.29372019440692
2020,6,6,Conductores de cobre,175.480039103233,0.826797140414737
2020,7,1,Asfalto,171.056697672603,2.48414302491373
2020,7,2,Cales,150.799803048656,3.24969733611813
2020,7,4,Cemento portland,187.665500481859,4.49999999999999
2020,7,8,Hierro redondo y acero para construcción,219.83520687178,5.49999999999999
2020,7,9,Hormigón elaborado,160.344692510147,2.74969586329683
2020,7,10,Ladrillos cerámicos,164.415462658438,5.75122626361493
2020,7,11,Ladrillos comunes,163.11570810422,12
2020,7,12,Mosaicos graníticos y calcáreos,178.289296346525,2.66644278653612
2020,7,13,Pinturas para construcción,159.356958555707,2
2020,7,14,Pisos y revestimientos cerámicos,230.849233057363,2
2020,7,17,Yeso,172.742850800505,0
2020,7,15,Sanitarios de cerámica,246.394146762771,13.064113771668
2020,7,16,Tubos estructurales,189.432755330661,4.82025180172039
2020,7,3,Caños de PVC,172.515760962153,3.36641287235828
2020,7,5,Chapas galvanizadas,173.736812032912,3
2020,7,7,Hierro fundido,145.938745367682,2.70742378319138
2020,7,6,Conductores de cobre,181.291875869855,3.31196459513143
2020,8,1,Asfalto,174.428157280433,1.97096030363138
2020,8,2,Cales,161.031313903927,6.78483038334614
2020,8,4,Cemento portland,201.740413017999,7.5
2020,8,8,Hierro redondo y acero para construcción,233.025319284087,6.00000000000001
2020,8,9,Hormigón elaborado,166.758480210553,4.00000000000003
2020,8,10,Ladrillos cerámicos,173.59404107956,5.58255183102221
2020,8,11,Ladrillos comunes,171.271493509431,5.00000000000003
2020,8,12,Mosaicos graníticos y calcáreos,183.844381347357,3.11577033207635
2020,8,13,Pinturas para construcción,164.137667312378,2.99999999999998
2020,8,14,Pisos y revestimientos cerámicos,242.391694710231,5
2020,8,17,Yeso,184.83485035654,7.00000000000001
2020,8,15,Sanitarios de cerámica,251.298029001429,1.99025922615741
2020,8,16,Tubos estructurales,198.24049660069,4.64953447710494
2020,8,3,Caños de PVC,178.241916289534,3.31920706574613
2020,8,5,Chapas galvanizadas,181.107606231285,4.24250572583145
2020,8,7,Hierro fundido,149.44701263588,2.40393136131147
2020,8,6,Conductores de cobre,183.086961680949,0.990163404996092
2020,9,1,Asfalto,185.320212298795,6.24443621269808
2020,9,2,Cales,169.870863715133,5.48933595392473
2020,9,4,Cemento portland,212.836135733989,5.49999999999999
2020,9,8,Hierro redondo y acero para construcción,253.997598019655,9.00000000000001
2020,9,9,Hormigón elaborado,169.259857413711,1.49999999999999
2020,9,10,Ladrillos cerámicos,180.818344092428,4.16160771875607
2020,9,11,Ladrillos comunes,178.122353249808,4
2020,9,12,Mosaicos graníticos y calcáreos,191.014189720456,3.89993336785865
2020,9,13,Pinturas para construcción,166.176722727697,1.24228365658292
